Mars(29),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.2489419997284407,0.0,0.19915359667624485,0.2987304027806365,0.2987304027806365,0.19915359667624485,0.2489419997284407,0.19915359667624485,0.19915359667624485,0.19915359667624485,0.19915359667624485,0.19915359667624485
2%=0.02,0.350603809816506,0.0,0.27269185524916795,0.31164783728733186,0.31164783728733186,0.27269185524916795,0.4285157738928339,0.27269185524916795,0.27269185524916795,0.27269185524916795,0.350603809816506,0.31164783728733186
3%=0.03,0.3199488108448693,0.0,0.25595904611018827,0.25595904611018827,0.25595904611018827,0.25595904611018827,0.38393857557955036,0.28795392206326065,0.25595904611018827,0.3199488108448693,0.38393857557955036,0.35194368679794186
4%=0.04,0.2985884891788799,0.0,0.2714440844294266,0.2442996704462498,0.2442996704462498,0.2714440844294266,0.35287730791150995,0.3257329031620566,0.2442996704462498,0.35287730791150995,0.35287730791150995,0.3257329031620566
5%=0.05,0.32999410508727317,0.0,0.32999410508727317,0.235710078046316,0.235710078046316,0.2592810830659014,0.30642310006768775,0.30642310006768775,0.30642310006768775,0.30642310006768775,0.30642310006768775,0.2828520950481022
6%=0.06,0.31243490564427834,0.0,0.3332639029785082,0.22911893261810978,0.22911893261810978,0.24994792995233958,0.29160591374696543,0.29160591374696543,0.2707769218496526,0.29160591374696543,0.29160591374696543,0.24994792995233958
7%=0.07,0.29853531082888524,0.0,0.29853531082888524,0.20524302564950575,0.20524302564950575,0.2425599405938221,0.2798768511753157,0.2612183958845689,0.2612183958845689,0.2612183958845689,0.2612183958845689,0.2612183958845689
8%=0.08,0.2872592111664811,0.0,0.2872592111664811,0.2027712080927051,0.2027712080927051,0.2534640056431151,0.2534640056431151,0.23656640645964513,0.2534640056431151,0.23656640645964513,0.2534640056431151,0.27036160840479817
9%=0.09,0.27792789067959534,0.0,0.27792789067959534,0.18528526344075247,0.18528526344075247,0.2624874562920919,0.23160657556632944,0.23160657556632944,0.23160657556632944,0.21616613819113717,0.2624874562920919,0.24704701592921072
10%=0.1,0.2558635373500639,0.0,0.2558635373500639,0.17057569409885037,0.17057569409885037,0.24164889976235962,0.2274342571103731,0.21321961445838655,0.21321961445838655,0.2274342571103731,0.2558635373500639,0.24164889976235962
11%=0.11,0.23704483918377453,0.0,0.23704483918377453,0.17119905197052313,0.17119905197052313,0.2238756843491589,0.2107065251678189,0.2107065251678189,0.19753736598647875,0.2238756843491589,0.23704483918377453,0.23704483918377453
12%=0.12,0.2330716384714706,0.0,0.2330716384714706,0.1717369964706995,0.1717369964706995,0.22080470893985682,0.1962708536481611,0.2085377831797748,0.18400392411654737,0.2085377831797748,0.2330716384714706,0.22080470893985682
13%=0.13,0.21812754687140354,0.0344411918503354,0.21812754687140354,0.17220595718705783,0.17220595718705783,0.2066471486244694,0.19516675368092598,0.19516675368092598,0.18368635543399192,0.19516675368092598,0.21812754687140354,0.21812754687140354
14%=0.14,0.20498435615521812,0.032365951182996566,0.20498435615521812,0.1726184053368834,0.1726184053368834,0.20498435615521812,0.19419570491000815,0.18340705658209328,0.1726184053368834,0.18340705658209328,0.2265616557283429,0.20498435615521812
15%=0.15,0.1933350289861803,0.03052658371193957,0.1933350289861803,0.17298397425952694,0.17298397425952694,0.1933350289861803,0.1933350289861803,0.18315950032528597,0.16280844559863264,0.18315950032528597,0.2136860837128336,0.20351055764707462
