jhotdraw(9),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.41551247309204475,0.0,0.13850415576782735,0.5540166230713094,0.5540166230713094,0.5540166230713094,0.41551247309204475,0.2770083115356547,0.2770083115356547,0.2770083115356547,0.2770083115356547,0.2770083115356547
2%=0.02,0.4024144882788729,0.0,0.20120724413943644,0.5030181195106613,0.5030181195106613,0.6036217385263563,0.4024144882788729,0.20120724413943644,0.20120724413943644,0.20120724413943644,0.3018108692631781,0.3018108692631781
3%=0.03,0.3949447144349082,0.0,0.31595576702948197,0.47393365430959344,0.47393365430959344,0.5529225941842787,0.31595576702948197,0.31595576702948197,0.31595576702948197,0.31595576702948197,0.47393365430959344,0.3949447144349082
4%=0.04,0.3901170385122737,0.0,0.3250975337944317,0.45513654323011565,0.45513654323011565,0.45513654323011565,0.3901170385122737,0.3250975337944317,0.3250975337944317,0.3901170385122737,0.3901170385122737,0.3901170385122737
5%=0.05,0.33149171516334264,0.0,0.33149171516334264,0.386740333129153,0.386740333129153,0.4419889510949632,0.33149171516334264,0.33149171516334264,0.2762430971975324,0.386740333129153,0.386740333129153,0.386740333129153
6%=0.06,0.2881844398966639,0.0,0.2881844398966639,0.33621517895128217,0.33621517895128217,0.38424591800590047,0.33621517895128217,0.33621517895128217,0.33621517895128217,0.33621517895128217,0.38424591800590047,0.38424591800590047
7%=0.07,0.29736618618472904,0.0,0.25488530306638835,0.33984706930306974,0.33984706930306974,0.33984706930306974,0.29736618618472904,0.29736618618472904,0.29736618618472904,0.29736618618472904,0.3823279524214104,0.33984706930306974
8%=0.08,0.30464584958926305,0.0,0.30464584958926305,0.30464584958926305,0.30464584958926305,0.30464584958926305,0.26656511882818335,0.26656511882818335,0.26656511882818335,0.30464584958926305,0.3427265803503427,0.3427265803503427
9%=0.09,0.27605245028486475,0.0,0.27605245028486475,0.3105590062111801,0.3105590062111801,0.3105590062111801,0.2415458943585493,0.2415458943585493,0.2415458943585493,0.27605245028486475,0.3105590062111801,0.3105590062111801
10%=0.1,0.2839116719242902,0.0,0.2523659308662848,0.2839116719242902,0.2839116719242902,0.2839116719242902,0.22082018980827933,0.22082018980827933,0.22082018980827933,0.2523659308662848,0.2839116719242902,0.2839116719242902
11%=0.11,0.26147588611272515,0.0,0.26147588611272515,0.26147588611272515,0.26147588611272515,0.26147588611272515,0.20337013409602492,0.20337013409602492,0.20337013409602492,0.26147588611272515,0.26147588611272515,0.26147588611272515
12%=0.12,0.24232633279483037,0.0,0.24232633279483037,0.24232633279483037,0.24232633279483037,0.24232633279483037,0.18847603700710217,0.18847603700710217,0.18847603700710217,0.24232633279483037,0.24232633279483037,0.24232633279483037
13%=0.13,0.22579026593075763,0.0,0.22579026593075763,0.22579026593075763,0.22579026593075763,0.22579026593075763,0.2007024587739356,0.1756146516171136,0.1756146516171136,0.22579026593075763,0.22579026593075763,0.22579026593075763
14%=0.14,0.21136683889149838,0.0,0.21136683889149838,0.21136683889149838,0.21136683889149838,0.21136683889149838,0.1878816347181593,0.16439643054482023,0.16439643054482023,0.21136683889149838,0.21136683889149838,0.21136683889149838
15%=0.15,0.19867549668874168,0.0,0.19867549668874168,0.19867549668874168,0.19867549668874168,0.19867549668874168,0.17660044163180993,0.17660044163180993,0.15452538657487816,0.19867549668874168,0.19867549668874168,0.19867549668874168
