jmeter_core(14),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.12048193225322083,0.0,0.0,0.12048193225322083,0.12048193225322083,0.12048193225322083,0.12048193225322083,0.12048193225322083,0.12048193225322083,0.12048193225322083,0.12048193225322083,0.12048193225322083
2%=0.02,0.10416667006211351,0.0,0.10416667006211351,0.10416667006211351,0.10416667006211351,0.10416667006211351,0.10416667006211351,0.20833334012422702,0.20833334012422702,0.10416667006211351,0.10416667006211351,0.10416667006211351
3%=0.03,0.09174312189987695,0.0,0.1834862437997539,0.1834862437997539,0.1834862437997539,0.2752293595540465,0.1834862437997539,0.2752293595540465,0.2752293595540465,0.2752293595540465,0.1834862437997539,0.09174312189987695
4%=0.04,0.08196721521717536,0.0,0.16393443043435071,0.16393443043435071,0.16393443043435071,0.24590164074587648,0.16393443043435071,0.24590164074587648,0.24590164074587648,0.24590164074587648,0.24590164074587648,0.24590164074587648
5%=0.05,0.14814815158216055,0.0,0.14814815158216055,0.14814815158216055,0.14814815158216055,0.22222222336689304,0.14814815158216055,0.22222222336689304,0.22222222336689304,0.22222222336689304,0.22222222336689304,0.3703703749490536
6%=0.06,0.2702702759847403,0.0,0.20270270365511442,0.13513513799237015,0.13513513799237015,0.2702702759847403,0.13513513799237015,0.20270270365511442,0.20270270365511442,0.20270270365511442,0.3378378416474846,0.3378378416474846
7%=0.07,0.2484472097978377,0.0,0.31055900943044257,0.12422360489891884,0.12422360489891884,0.3726708090630474,0.1863354045315237,0.1863354045315237,0.1863354045315237,0.2484472097978377,0.31055900943044257,0.31055900943044257
8%=0.08,0.22988506160555394,0.0,0.3448275875849931,0.22988506160555394,0.22988506160555394,0.3448275875849931,0.2873563245952735,0.22988506160555394,0.17241379379249655,0.2873563245952735,0.40229885057471265,0.2873563245952735
9%=0.09,0.2673796815306843,0.0,0.3208556161664117,0.2673796815306843,0.2673796815306843,0.3208556161664117,0.2673796815306843,0.2673796815306843,0.16042780808320584,0.2673796815306843,0.374331550802139,0.2673796815306843
10%=0.1,0.3000000010430813,0.0,0.3000000010430813,0.2500000020861626,0.2500000020861626,0.3000000010430813,0.2500000020861626,0.2500000020861626,0.15000000052154064,0.2500000020861626,0.40000000625848753,0.3000000010430813
11%=0.11,0.32863849765258213,0.04694835749724343,0.32863849765258213,0.23474178587684325,0.23474178587684325,0.28169014176471274,0.23474178587684325,0.23474178587684325,0.18779342998897372,0.32863849765258213,0.37558685997794744,0.32863849765258213
12%=0.12,0.3097345132743363,0.044247788223283686,0.3097345132743363,0.2654867264806025,0.2654867264806025,0.2654867264806025,0.22123893968686864,0.22123893968686864,0.22123893968686864,0.3097345132743363,0.3539823057862695,0.3097345132743363
13%=0.13,0.33472803785542093,0.04184100473192762,0.29288702928870297,0.29288702928870297,0.29288702928870297,0.2510460258350388,0.20920502238137464,0.20920502238137464,0.20920502238137464,0.29288702928870297,0.33472803785542093,0.29288702928870297
14%=0.14,0.35714285582882177,0.039682540175302934,0.3174603214024235,0.2777777777777778,0.2777777777777778,0.23809523875225577,0.19841269972673378,0.19841269972673378,0.19841269972673378,0.2777777777777778,0.3174603214024235,0.2777777777777778
15%=0.15,0.3396226403211605,0.0754716990044126,0.3018867960176504,0.3396226403211605,0.3396226403211605,0.3018867960176504,0.18867924647129228,0.18867924647129228,0.18867924647129228,0.2641509433962264,0.3018867960176504,0.3018867960176504
