argouml(12),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.1955034247271491,0.0,0.29325513196480935,0.3910068494542982,0.3910068494542982,0.09775171236357455,0.4887585464401297,0.3910068494542982,0.3910068494542982,0.4887585464401297,0.4887585464401297,0.5865102639296187
2%=0.02,0.20746887966804978,0.0,0.34578146269263926,0.48409404571722864,0.48409404571722864,0.41493775933609955,0.34578146269263926,0.41493775933609955,0.48409404571722864,0.5532503526230199,0.6224066390041494,0.41493775933609955
3%=0.03,0.32102728731942215,0.0,0.2675227373852629,0.3745318311108148,0.3745318311108148,0.3745318311108148,0.4280363871877404,0.4815409309791332,0.5350454747705258,0.4815409309791332,0.5885500308474515,0.5350454747705258
4%=0.04,0.305410119440958,0.0,0.34904014233914654,0.305410119440958,0.305410119440958,0.305410119440958,0.4363001717969789,0.4363001717969789,0.4363001717969789,0.47993019469516746,0.47993019469516746,0.5235602094240838
5%=0.05,0.29465930212483193,0.0,0.29465930212483193,0.29465930212483193,0.29465930212483193,0.29465930212483193,0.40515653969389276,0.40515653969389276,0.36832412328953257,0.40515653969389276,0.40515653969389276,0.4419889502762431
6%=0.06,0.2549394533329103,0.0,0.2549394533329103,0.31867431339749114,0.31867431339749114,0.2549394533329103,0.35054174778797725,0.35054174778797725,0.38240917782026773,0.35054174778797725,0.38240917782026773,0.38240917782026773
7%=0.07,0.22465599663497957,0.0,0.25273799494524013,0.3089019949500596,0.3089019949500596,0.22465599663497957,0.3089019949500596,0.3089019949500596,0.3369839932603201,0.3369839932603201,0.3369839932603201,0.3369839932603201
8%=0.08,0.20080321375267096,0.0,0.22590361445783133,0.27610441857194806,0.27610441857194806,0.22590361445783133,0.27610441857194806,0.3012048192771084,0.3012048192771084,0.3012048192771084,0.3012048192771084,0.3012048192771084
9%=0.09,0.18152938580576317,0.0,0.20422055820285911,0.27229407760381213,0.27229407760381213,0.20422055820285911,0.24960290520671619,0.27229407760381213,0.27229407760381213,0.27229407760381213,0.27229407760381213,0.27229407760381213
10%=0.1,0.1656314705924889,0.0,0.18633540372670804,0.24844720496894407,0.24844720496894407,0.18633540372670804,0.2277432718347249,0.24844720496894407,0.24844720496894407,0.24844720496894407,0.24844720496894407,0.24844720496894407
11%=0.11,0.17133066818960593,0.0,0.19036740858114834,0.2284408909194746,0.2284408909194746,0.17133066818960593,0.20940415052793215,0.2284408909194746,0.2284408909194746,0.2284408909194746,0.2284408909194746,0.2284408909194746
12%=0.12,0.1761804082945241,0.0,0.1761804082945241,0.21141649048625794,0.21141649048625794,0.15856236786469344,0.21141649048625794,0.21141649048625794,0.21141649048625794,0.21141649048625794,0.21141649048625794,0.21141649048625794
13%=0.13,0.16396130474742002,0.0,0.16396130474742002,0.19675356615838663,0.19675356615838663,0.14756517461878996,0.19675356615838663,0.19675356615838663,0.19675356615838663,0.19675356615838663,0.19675356615838663,0.19675356615838663
14%=0.14,0.15332719990902127,0.0,0.15332719990902127,0.18399264029438822,0.18399264029438822,0.13799448022079117,0.18399264029438822,0.18399264029438822,0.18399264029438822,0.18399264029438822,0.18399264029438822,0.18399264029438822
15%=0.15,0.14398848062494288,0.0,0.14398848062494288,0.17278617710583155,0.17278617710583155,0.14398848062494288,0.17278617710583155,0.17278617710583155,0.17278617710583155,0.17278617710583155,0.17278617710583155,0.17278617710583155
