javaclient(57),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.033812341747413856,0.0,0.06762468349482771,0.0,0.0,0.033812341747413856,0.0,0.0,0.0,0.0,0.033812341747413856,0.033812341747413856
2%=0.02,0.06525285526446631,0.0,0.06525285526446631,0.032626427632233154,0.032626427632233154,0.06525285526446631,0.032626427632233154,0.032626427632233154,0.0,0.032626427632233154,0.06525285526446631,0.06525285526446631
3%=0.03,0.06304176559137543,0.0,0.06304176559137543,0.03152088279568772,0.03152088279568772,0.09456264838706317,0.03152088279568772,0.03152088279568772,0.03152088279568772,0.06304176559137543,0.06304176559137543,0.06304176559137543
4%=0.04,0.09146341522626472,0.0,0.09146341522626472,0.06097561015084315,0.06097561015084315,0.15243902537710788,0.030487805075421575,0.030487805075421575,0.030487805075421575,0.06097561015084315,0.06097561015084315,0.06097561015084315
5%=0.05,0.14760147693998307,0.0,0.14760147693998307,0.08856088616398983,0.08856088616398983,0.14760147693998307,0.05904059077599322,0.02952029538799661,0.05904059077599322,0.05904059077599322,0.08856088616398983,0.11808118155198644
6%=0.06,0.20028612424975867,0.0,0.20028612424975867,0.1430615173212562,0.1430615173212562,0.20028612424975867,0.057224606928502474,0.028612303464251237,0.057224606928502474,0.057224606928502474,0.1430615173212562,0.1430615173212562
7%=0.07,0.24982650151490382,0.0,0.24982650151490382,0.16655100722736152,0.16655100722736152,0.24982650151490382,0.055517002409120504,0.055517002409120504,0.08327550361368076,0.11103400481824101,0.19430950843192177,0.16655100722736152
8%=0.08,0.29649594977680255,0.0,0.29649594977680255,0.21563342441476913,0.21563342441476913,0.2695417805184614,0.08086253415553842,0.08086253415553842,0.10781671220738456,0.16172506831107683,0.18867924636292296,0.18867924636292296
9%=0.09,0.34053699424382294,0.0,0.34053699424382294,0.2357563780748831,0.2357563780748831,0.288146686159353,0.10478061616893984,0.10478061616893984,0.10478061616893984,0.1833660782956447,0.20956123233787968,0.20956123233787968
10%=0.1,0.3821656150195732,0.0,0.3821656150195732,0.2292993564413035,0.2292993564413035,0.3312101850181164,0.1019108285768128,0.1019108285768128,0.12738853572101602,0.1783439500094224,0.2292993564413035,0.25477707144203204
11%=0.11,0.44637320507098743,0.0,0.4215747002943539,0.2479851221985752,0.2479851221985752,0.39677619551772025,0.14879107331914512,0.14879107331914512,0.14879107331914512,0.2479851221985752,0.29758214663829025,0.32238065141492384
12%=0.12,0.4589372074832303,0.0,0.4589372074832303,0.2657004773928731,0.2657004773928731,0.43478259680226566,0.14492753697522073,0.14492753697522073,0.16908212647109083,0.28985507395044147,0.3140096563846133,0.33816425294218166
13%=0.13,0.49440847133674753,0.0,0.49440847133674753,0.3060623844622638,0.3060623844622638,0.47086521718620944,0.14125956515586285,0.14125956515586285,0.16480282601517332,0.32960565203034664,0.3531489195984294,0.3531489195984294
14%=0.14,0.528128596786793,0.0,0.528128596786793,0.34443169577631116,0.34443169577631116,0.5051664650155093,0.1377726757578614,0.1377726757578614,0.18369690101048183,0.34443169577631116,0.390355908265616,0.390355908265616
15%=0.15,0.5602240862237013,0.0,0.537815128609535,0.38095237668718973,0.38095237668718973,0.537815128609535,0.15686274584444768,0.13445378215238374,0.17927170953651164,0.3585434190730233,0.42577031622711264,0.42577031622711264
