jedit(7),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.4466778414168835,0.0,0.4466778414168835,0.4466778414168835,0.4466778414168835,0.5583472972185514,0.4466778414168835,0.5583472972185514,0.5583472972185514,0.5583472972185514,0.5583472972185514,0.5583472972185514
2%=0.02,0.4163775166188193,0.0,0.34698126502112225,0.4163775166188193,0.4163775166188193,0.4163775166188193,0.34698126502112225,0.34698126502112225,0.34698126502112225,0.4163775166188193,0.4163775166188193,0.4163775166188193
3%=0.03,0.3020387621697306,0.0,0.3020387621697306,0.3020387621697306,0.3020387621697306,0.3020387621697306,0.25169896909153777,0.3020387621697306,0.3020387621697306,0.3020387621697306,0.3020387621697306,0.3020387621697306
4%=0.04,0.23696682496995214,0.0,0.23696682496995214,0.2764612954186414,0.2764612954186414,0.23696682496995214,0.1974723545212629,0.23696682496995214,0.23696682496995214,0.23696682496995214,0.23696682496995214,0.2764612954186414
5%=0.05,0.19496344457445186,0.0,0.19496344457445186,0.2274573517465475,0.2274573517465475,0.19496344457445186,0.19496344457445186,0.19496344457445186,0.19496344457445186,0.19496344457445186,0.2274573517465475,0.2274573517465475
6%=0.06,0.1656086118067377,0.0,0.1656086118067377,0.19321004692243995,0.19321004692243995,0.1656086118067377,0.1656086118067377,0.1656086118067377,0.19321004692243995,0.19321004692243995,0.19321004692243995,0.19321004692243995
7%=0.07,0.1439366679861962,0.0,0.1439366679861962,0.16792611251049538,0.16792611251049538,0.1439366679861962,0.1439366679861962,0.1439366679861962,0.16792611251049538,0.16792611251049538,0.16792611251049538,0.16792611251049538
8%=0.08,0.12728044133274208,0.0,0.12728044133274208,0.14849384811200678,0.14849384811200678,0.12728044133274208,0.14849384811200678,0.12728044133274208,0.14849384811200678,0.14849384811200678,0.14849384811200678,0.14849384811200678
9%=0.09,0.11407928517856196,0.0,0.11407928517856196,0.13309249928700445,0.13309249928700445,0.11407928517856196,0.13309249928700445,0.13309249928700445,0.13309249928700445,0.13309249928700445,0.13309249928700445,0.13309249928700445
10%=0.1,0.10335917318852254,0.0,0.10335917318852254,0.12058570198105081,0.12058570198105081,0.10335917318852254,0.12058570198105081,0.12058570198105081,0.12058570198105081,0.12058570198105081,0.12058570198105081,0.12058570198105081
11%=0.11,0.09448074959900851,0.0,0.09448074959900851,0.11022754113849303,0.11022754113849303,0.09448074959900851,0.11022754113849303,0.11022754113849303,0.11022754113849303,0.11022754113849303,0.11022754113849303,0.11022754113849303
12%=0.12,0.08700696060071311,0.0,0.08700696060071311,0.10150812064965196,0.10150812064965196,0.08700696060071311,0.10150812064965196,0.10150812064965196,0.10150812064965196,0.10150812064965196,0.10150812064965196,0.10150812064965196
13%=0.13,0.09406705637304305,0.0,0.08062890550028108,0.09406705637304305,0.09406705637304305,0.08062890550028108,0.09406705637304305,0.09406705637304305,0.09406705637304305,0.09406705637304305,0.09406705637304305,0.09406705637304305
14%=0.14,0.08764241893076248,0.0,0.07512207340192747,0.08764241893076248,0.08764241893076248,0.07512207340192747,0.08764241893076248,0.08764241893076248,0.08764241893076248,0.08764241893076248,0.08764241893076248,0.08764241893076248
15%=0.15,0.08203926164664518,0.0,0.07031936715435055,0.08203926164664518,0.08203926164664518,0.07031936715435055,0.08203926164664518,0.08203926164664518,0.08203926164664518,0.08203926164664518,0.08203926164664518,0.08203926164664518
