tomcat(28),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.29635901778154106,0.0,0.29635901778154106,0.08467400732401019,0.08467400732401019,0.29635901778154106,0.12701100836851711,0.08467400732401019,0.12701100836851711,0.12701100836851711,0.2116850156925273,0.16934801464802038
2%=0.02,0.30084236162505923,0.0,0.33092659144353276,0.12033694570736239,0.12033694570736239,0.24067389141472478,0.18050541591769684,0.210589651022864,0.18050541591769684,0.24067389141472478,0.27075812123319837,0.27075812123319837
3%=0.03,0.2799813354862134,0.0,0.2799813354862134,0.1399906677431067,0.1399906677431067,0.2799813354862134,0.23331778063178277,0.1866542257773521,0.1399906677431067,0.20998600002475257,0.2566495548791831,0.30331310973361364
4%=0.04,0.3048780524163023,0.0,0.32393292804120644,0.1333841463414634,0.1333841463414634,0.3048780524163023,0.247713412816239,0.15243902620815114,0.1333841463414634,0.20960365732464714,0.247713412816239,0.3048780524163023
5%=0.05,0.3059581294484817,0.0,0.3059581294484817,0.12882447794886692,0.12882447794886692,0.27375201374798325,0.22544283413848631,0.17713365452898935,0.12882447794886692,0.20933977325886247,0.25764895589773384,0.2898550715982325
6%=0.06,0.2928053541550474,0.0,0.27886224335025533,0.13943112167512767,0.13943112167512767,0.30674846495983943,0.2091466802414903,0.181260456360705,0.11154489779434236,0.2091466802414903,0.2370329063934768,0.27886224335025533
7%=0.07,0.2704696326275904,0.0,0.25817555938037867,0.1352348163137952,0.1352348163137952,0.2950577826535026,0.208999262860043,0.15982296457396297,0.11064666805362736,0.19670518961283126,0.2212933361072547,0.2704696326275904
8%=0.08,0.2528584005066813,0.0,0.2308707124010554,0.1319261215737462,0.1319261215737462,0.2638522431474924,0.19788918165461838,0.15391380826737025,0.12093227752093325,0.18689533901380725,0.2308707124010554,0.2418645550418665
9%=0.09,0.22867369357286105,0.0,0.21873135746299222,0.12925034748678482,0.12925034748678482,0.23861602737309726,0.18890435375265094,0.15907735235194234,0.11930801368654863,0.1988466898625198,0.22867369357286105,0.22867369357286105
10%=0.1,0.217785844195001,0.0,0.19963702304375475,0.12704174228675136,0.12704174228675136,0.23593466342225647,0.17241379227888076,0.15426497305162531,0.11796733171112823,0.19056261343012704,0.20871143458137323,0.22686025380862876
11%=0.11,0.20030045090850682,0.008345852155092981,0.20864630255502178,0.11684192956100818,0.11684192956100818,0.21699215420153675,0.1585711894210327,0.15022533777451771,0.10849607710076838,0.17526289434151224,0.21699215420153675,0.20864630255502178
12%=0.12,0.19313967841635563,0.007725587181976583,0.20086526516254027,0.11588380677090653,0.11588380677090653,0.20086526516254027,0.14678615515017931,0.13906056840399467,0.10043263258127014,0.16223733003708282,0.20086526516254027,0.19313967841635563
13%=0.13,0.17977851269953243,0.014382281094499728,0.1869696528691999,0.1078671073780667,0.1078671073780667,0.194160794247131,0.13663166926500026,0.1294405290953328,0.1078671073780667,0.15820509098226634,0.1869696528691999,0.17977851269953243
14%=0.14,0.1681463544360374,0.0201775625693183,0.17487220831752837,0.10761366738868627,0.10761366738868627,0.18159806325598546,0.12779122903315923,0.12106537515166826,0.10761366738868627,0.1614205005545464,0.17487220831752837,0.1681463544360374
15%=0.15,0.15792798470571281,0.018951358197319693,0.16424510383286806,0.12002526807797231,0.12002526807797231,0.17056222389242778,0.12002526807797231,0.12002526807797231,0.10739102982366176,0.15161086557855755,0.16424510383286806,0.15792798470571281
