wro4j(12),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.11261261488025948,0.0,0.0,0.4504504595210379,0.4504504595210379,0.11261261488025948,0.33783783783783783,0.33783783783783783,0.33783783783783783,0.33783783783783783,0.33783783783783783,0.4504504595210379
2%=0.02,0.34013605959362797,0.0,0.0,0.34013605959362797,0.34013605959362797,0.34013605959362797,0.4251700628553514,0.5102040816326531,0.5102040816326531,0.34013605959362797,0.5102040816326531,0.4251700628553514
3%=0.03,0.34153005130763203,0.0,0.13661202352651178,0.4098360655737705,0.4098360655737705,0.47814206982837876,0.5464480941060471,0.5464480941060471,0.4098360655737705,0.47814206982837876,0.47814206982837876,0.5464480941060471
4%=0.04,0.39954337433503434,0.0,0.39954337433503434,0.39954337433503434,0.39954337433503434,0.45662100922660936,0.5136986301369864,0.5707762510473631,0.39954337433503434,0.6278538859389382,0.5707762510473631,0.6278538859389382
5%=0.05,0.4411764705882353,0.0,0.34313725146455326,0.49019607499396506,0.49019607499396506,0.4411764705882353,0.49019607499396506,0.49019607499396506,0.4411764705882353,0.5392156897119171,0.5882352941176471,0.5882352941176471
6%=0.06,0.3865979381443299,0.0,0.300687282583845,0.4295532619652883,0.4295532619652883,0.3865979381443299,0.4295532619652883,0.4295532619652883,0.4295532619652883,0.5154639175257731,0.5154639175257731,0.5154639175257731
7%=0.07,0.34403669724770647,0.0,0.30581039964385165,0.4204892987264205,0.4204892987264205,0.34403669724770647,0.4204892987264205,0.3822629948515611,0.3822629948515611,0.4587155963302752,0.4587155963302752,0.4587155963302752
8%=0.08,0.3443526153836075,0.0,0.30991735537190085,0.37878788048416107,0.37878788048416107,0.3443526153836075,0.37878788048416107,0.37878788048416107,0.3443526153836075,0.4132231404958678,0.4132231404958678,0.4132231404958678
9%=0.09,0.313283206616055,0.0,0.313283206616055,0.3446115302260501,0.3446115302260501,0.3446115302260501,0.37593984962406013,0.37593984962406013,0.313283206616055,0.37593984962406013,0.37593984962406013,0.37593984962406013
10%=0.1,0.31609195520421407,0.0,0.2873563206578548,0.31609195520421407,0.31609195520421407,0.31609195520421407,0.3448275862068965,0.3448275862068965,0.2873563206578548,0.3448275862068965,0.3448275862068965,0.3448275862068965
11%=0.11,0.2919320604555398,0.0,0.26539278030879127,0.2919320604555398,0.2919320604555398,0.2919320604555398,0.3184713375796178,0.3184713375796178,0.26539278030879127,0.3184713375796178,0.3184713375796178,0.3184713375796178
12%=0.12,0.2712031566880922,0.0,0.2712031566880922,0.2712031566880922,0.2712031566880922,0.2712031566880922,0.29585798816568043,0.29585798816568043,0.2712031566880922,0.29585798816568043,0.29585798816568043,0.29585798816568043
13%=0.13,0.25322283685383845,0.0,0.25322283685383845,0.25322283685383845,0.25322283685383845,0.25322283685383845,0.27624309392265195,0.27624309392265195,0.25322283685383845,0.27624309392265195,0.27624309392265195,0.27624309392265195
14%=0.14,0.23747841172027706,0.0,0.23747841172027706,0.23747841172027706,0.23747841172027706,0.23747841172027706,0.2590673575129534,0.2590673575129534,0.23747841172027706,0.2590673575129534,0.2590673575129534,0.2590673575129534
15%=0.15,0.22357723636332183,0.0,0.22357723636332183,0.22357723636332183,0.22357723636332183,0.22357723636332183,0.2439024390243902,0.2439024390243902,0.2439024390243902,0.2439024390243902,0.2439024390243902,0.2439024390243902
